feeder_id,branch_location_id,mv_line_id,feeder_name,centroid_lat,centroid_lon,length_km,synthetic_capacity_kw,synthetic_reverse_flow_limit_kw,synthetic_base_demand_kw,synthetic_pv_capacity_kwp,area_type,oze_density_index,is_synthetic,source_note
gliwice_f001,gliwice,osm_way_100207009,GLW-DEMO-F001,50.435867,18.686646,18.577,1863.3,216.5,351.5,880.2,rural,0.858,true,OSM geometry proxy; electrical parameters synthetic for POC
gliwice_f002,gliwice,osm_way_103697282,GLW-DEMO-F002,50.232542,18.645709,0.067,2111.1,310.6,477.0,1087.1,residential,0.765,true,OSM geometry proxy; electrical parameters synthetic for POC
gliwice_f003,gliwice,osm_way_103697295,GLW-DEMO-F003,50.232562,18.645740,0.067,2258.0,233.5,529.8,869.1,residential,0.733,true,OSM geometry proxy; electrical parameters synthetic for POC
gliwice_f004,gliwice,osm_way_103697306,GLW-DEMO-F004,50.235209,18.633880,0.283,2412.4,301.0,556.5,892.5,residential,0.739,true,OSM geometry proxy; electrical parameters synthetic for POC
gliwice_f005,gliwice,osm_way_157302285,GLW-DEMO-F005,50.299235,18.614511,2.155,3547.2,1073.6,1100.4,1135.6,industrial,0.49,true,OSM geometry proxy; electrical parameters synthetic for POC
gliwice_f006,gliwice,osm_way_157302286,GLW-DEMO-F006,50.293147,18.634195,0.015,2535.4,270.0,450.9,777.2,residential,0.792,true,OSM geometry proxy; electrical parameters synthetic for POC
gliwice_f007,gliwice,osm_way_340642712,GLW-DEMO-F007,50.234419,18.640518,0.873,2345.9,217.9,842.2,1025.1,mixed,0.754,true,OSM geometry proxy; electrical parameters synthetic for POC
gliwice_f008,gliwice,osm_way_340642713,GLW-DEMO-F008,50.236875,18.626297,1.018,3039.3,223.0,574.7,1330.7,mixed,0.679,true,OSM geometry proxy; electrical parameters synthetic for POC
gliwice_f009,gliwice,osm_way_340642715,GLW-DEMO-F009,50.243441,18.619573,0.619,2640.4,312.4,701.4,1245.4,mixed,0.697,true,OSM geometry proxy; electrical parameters synthetic for POC
gliwice_f010,gliwice,osm_way_340642716,GLW-DEMO-F010,50.219737,18.605176,1.218,2872.5,300.5,842.3,1010.8,mixed,0.775,true,OSM geometry proxy; electrical parameters synthetic for POC
gliwice_f011,gliwice,osm_way_340642717,GLW-DEMO-F011,50.214115,18.590450,3.806,3658.0,849.9,1369.3,1178.2,industrial,0.58,true,OSM geometry proxy; electrical parameters synthetic for POC
gliwice_f012,gliwice,osm_way_340642718,GLW-DEMO-F012,50.225006,18.611081,0.006,2195.6,362.9,474.3,874.9,residential,0.624,true,OSM geometry proxy; electrical parameters synthetic for POC
gliwice_f013,gliwice,osm_way_340642723,GLW-DEMO-F013,50.236818,18.617798,0.015,2265.7,376.4,551.5,1120.1,residential,0.691,true,OSM geometry proxy; electrical parameters synthetic for POC
gliwice_f014,gliwice,osm_way_340642724,GLW-DEMO-F014,50.235358,18.633375,0.009,2370.5,375.0,517.7,1175.3,residential,0.656,true,OSM geometry proxy; electrical parameters synthetic for POC
gliwice_f015,gliwice,osm_way_340642725,GLW-DEMO-F015,50.229927,18.614770,1.805,2845.3,873.3,1352.2,1081.7,industrial,0.511,true,OSM geometry proxy; electrical parameters synthetic for POC
gliwice_f016,gliwice,osm_way_340642726,GLW-DEMO-F016,50.240005,18.613041,0.106,2512.2,239.6,475.8,1223.1,residential,0.782,true,OSM geometry proxy; electrical parameters synthetic for POC
gliwice_f017,gliwice,osm_way_340642728,GLW-DEMO-F017,50.248421,18.618022,0.030,2444.5,366.2,487.2,944.1,residential,0.747,true,OSM geometry proxy; electrical parameters synthetic for POC
gliwice_f018,gliwice,osm_way_340642730,GLW-DEMO-F018,50.236863,18.618600,0.100,2222.3,354.9,473.4,1183.5,residential,0.622,true,OSM geometry proxy; electrical parameters synthetic for POC
gliwice_f019,gliwice,osm_way_340642732,GLW-DEMO-F019,50.235171,18.633818,0.294,1993.4,358.0,503.5,747.7,residential,0.743,true,OSM geometry proxy; electrical parameters synthetic for POC
gliwice_f020,gliwice,osm_way_340642740,GLW-DEMO-F020,50.238270,18.616317,0.417,2495.9,355.2,490.5,1265.5,residential,0.803,true,OSM geometry proxy; electrical parameters synthetic for POC
gliwice_f021,gliwice,osm_way_340642742,GLW-DEMO-F021,50.223361,18.612655,0.404,2163.2,329.9,628.1,1260.3,residential,0.716,true,OSM geometry proxy; electrical parameters synthetic for POC
gliwice_f022,gliwice,osm_way_340642743,GLW-DEMO-F022,50.227474,18.611449,0.326,2369.3,242.6,590.3,1120.2,residential,0.743,true,OSM geometry proxy; electrical parameters synthetic for POC
gliwice_f023,gliwice,osm_way_340642744,GLW-DEMO-F023,50.238433,18.612468,0.361,2583.7,400.4,533.0,1262.8,residential,0.732,true,OSM geometry proxy; electrical parameters synthetic for POC
gliwice_f024,gliwice,osm_way_340642745,GLW-DEMO-F024,50.223849,18.610426,0.323,2237.4,263.8,513.9,1247.1,residential,0.657,true,OSM geometry proxy; electrical parameters synthetic for POC
gliwice_f025,gliwice,osm_way_343299068,GLW-DEMO-F025,50.279728,18.706539,2.022,2669.4,251.4,671.3,1194.7,mixed,0.68,true,OSM geometry proxy; electrical parameters synthetic for POC
gliwice_f026,gliwice,osm_way_343299071,GLW-DEMO-F026,50.279715,18.706371,2.068,2263.4,280.0,839.7,1248.0,mixed,0.673,true,OSM geometry proxy; electrical parameters synthetic for POC
gliwice_f027,gliwice,osm_way_343299074,GLW-DEMO-F027,50.291599,18.705838,0.366,1935.3,393.3,648.3,1169.8,residential,0.735,true,OSM geometry proxy; electrical parameters synthetic for POC
gliwice_f028,gliwice,osm_way_343299075,GLW-DEMO-F028,50.291601,18.706058,0.365,2111.9,268.2,484.9,1175.2,residential,0.631,true,OSM geometry proxy; electrical parameters synthetic for POC
gliwice_f029,gliwice,osm_way_385686677,GLW-DEMO-F029,50.340608,18.805750,2.847,2405.1,252.2,858.3,1093.0,mixed,0.675,true,OSM geometry proxy; electrical parameters synthetic for POC
gliwice_f030,gliwice,osm_way_385686678,GLW-DEMO-F030,50.340703,18.805893,2.826,2576.6,221.7,606.5,907.5,mixed,0.731,true,OSM geometry proxy; electrical parameters synthetic for POC
